ID	Wörter	Redewendung / Metapher	Originaltext	Zuweisung	staufisch	anti-staufisch	moralisch pos.	moralisch neg.	fol.	Zeile	Kommentar	annotiert
		die Kaiserin wird gefangengehalten	Augustaque capta tenetur	Konstanze v. Sizilien	x				121v	793		NK
		euer [Bevölkerung Capuas] Tankred	Tancredum Vestrum 	Tankred v. L.		x			121v	804		NK
		Unser [Konrads und seiner Männer] Kaiser ist fern in einer anderen Zone der Welt	Augustus si noster abest trans climata mundi	Heinrich VI.	x				121v	807		NK
		Unser [Konrads und seiner Männer] Kaiser 	Augustus [...] noster	Konrad v. Querfurt	x				121v	807		NK
		er [Konrads Kaiser] hat einen langen Arm	prolixas nostris habere manus	Heinrich VI.	x				121v	808		
		Sie [die Stadt Capua] ruft, sie kenne keinen König ausser Tankred	Nonnisi Tancredum clamans se noscere regem 	Tankred v. L.		x			121v	815		NK
	kleine Missgeburt		monstrum breve	Tankred v. L.		x			121v	816		NK
	rettet 		vendicat	Konrad v. Querfurt		x			122v	856		NK
		kleines Herz	cor breve	Tankred v. L.		x			123v	861		NK
		keine Treue	tam sibi [...] abesse fidem	Tankred v. L.		x		x	123v	862		NK
		zweifelnde Brust [Herz]	dubitantis pectoris	Tankred v. L.		x			123v	865		NK
		Schriftstück [...] nachdem still [heimlich] gelesen [...] verbrennen [...].	scriptum [...] tacito legeris [...],crema	Tankred v. L.		x			123v	869		NK
		Königin genannt	regina vocaris	Sibylle v. Medania					123v	871		NK
		edle Erbin	nobilis heres	Konstanze v. Sizilien	x				123v	875		NK
		Gattin	uxtor	Konstanze v. Sizilien	x				123v	876	falls es einen Unterschied zwischen uxtor und consors gibt	NK
		Welt erschüttert	quatit omne solum	Heinrich VI.	x				123v	876		NK
		süsse Liebe	dulcia amor	Sibylle v. Medania		x			123v	877		NK
		glückseligste	prebeatissima	Sibylle v. Medania		x			123v	877		NK
		Gattin [Gefährtin/Genossin]	consors	Sibylle v. Medania		x			123v	877	falls es einen Unterschied zwischen uxtor und consors gibt	NK
		Gefährtin und Wächterin [Konstanzes]	comes et custos	Sibylle v. Medania		x			123v	879		NK
		Gastfreundin und Feindin [Konstanzes]	ospes et hostis	Sibylle v. Medania		x			123v	879		NK
		Sei [Konstanze] bald überlegen, bald gleichrangig, bald geringer	Nunc maior, nunc par, nunc minor esse velis	Sibylle v. Medania		x			123v	884		NK
	Schmerz		dolores	Konstanze v. Sizilien	x				123v	889		NK
	waghalsig		ausa	Tankred v. L.		x			123v	888		NK
		Erbin des Königreichs	Heredem regni	Konstanze v. Sizilien	x				123v	888		NK
	Kaiserin		Augusta	Konstanze v. Sizilien	x				123v	889		NK
	Schmerz [erdulden]		dolores	Konstanze v. Sizilien	x				123v	889		NK
	Schmach [erdulden]		pudor	Konstanze v. Sizilien	x				123v	890		NK
	freudig		gudens	Konstanze v. Sizilien	x				123v	891		NK
		scheint stolz zu sprechen	visa superba loqui	Konstanze v. Sizilien	x				123v	892		NK
		verachtet das Werk der Aceranerin	cerree fastidit opus	Konstanze v. Sizilien	x				123v	893		NK
		verachtet das Werk der Aceranerin	cerree fastidit opus	Sibylle v. Medania		x			123v	893		NK
		lehnt es ab [von Sibylle]  geliebt zu werden	fastidit amari	Konstanze v. Sizilien	x				123v	893		NK
	Kaiserin [Gesegnete]		Fausta	Konstanze v. Sizilien	x				123v	894		NK
		befiehlt [...] herrisch [gebieterisch /mit kaiserlicher Autorität]	imperiosa iubet	Konstanze v. Sizilien	x				123v	894		NK
	leidet		dolet	Sibylle v. Medania		x			123v	895		NK
		wird [von Konstanze] gerufen	per eam vocatur	Sibylle v. Medania		x			123v	895		NK
		ihr Tankred	Tancredo [...] suo	Sibylle v. Medania		x			123v	896		NK
		ihr [Sibylle v. Messinas] Tankred	Tancredo [...] suo	Tankred v. L.		x			123v	896		NK
	Wahnsinniger		demens	Tankred v. L.		x			124v	897		NK
	Feindin [Tankreds]		hostis	Konstanze v. Sizilien	x				124v	898		NK
		hat väterliches Recht	ius patris [...] habet	Konstanze v. Sizilien	x				124v	898		NK
	Kaiser		Cesar	Heinrich VI.	x				124v	899		NK
		hochmütige Beute	preda superba	Konstanze v. Sizilien	x				124v	900		NK
		macht den Sieger zum Besiegten	victorem victum  [...] facit	Konstanze v. Sizilien	x				124v	900		NK
		[besiegter] Sieger	victorem victum  	Sibylle v. Medania		x			124v	900		NK
		[besiegter] Sieger	victorem victum	Tankred v. L.		x			124v	900		NK
		Kaum dass¸ er kommt, wird er ohne Unterschied besiegen	Protinus ut veniat, nullo discrime besiegen	Heinrich VI.	x				124v	905		NK
	Gattin [Tankreds]		uxor [Tancredi]	Sibylle v. Medania		x			124v	913		NK
		meine mir [Tankred] liebe Gattin	Cara michi coniunx	Sibylle v. Medania		x			124v	915		NK
		Pfand keuscher Liebe	casti fedus amori	Sibylle v. Medania		x	x		124v	915	Aussage Tankreds	NK
		Ein Mann von grosser Treue	Vir magne fidei	Matheus v. Salerno		x	x		124v	917	Aussage Tankreds	NK
		Gunst reifen Geistes	mature gratia mentis	Matheus v. Salerno		x			124v	917	Aussage Tankreds	NK
		Königin genannt	regina vocaris	Sibylle v. Medania		x			124v	919	Aussage Tankreds	NK
		verdanken wir, was immer wir beide [Tankred, Sibylle] sind 	debemus, quicquid uterque sumus	Matheus v. Salerno		x			124v	920	Aussage Tankreds	NK
		über das Menschenmass hinaus erkennt er das Göttliche	Trans hominem divina sapit	Matheus v. Salerno		x	x		124v	921	Aussage Tankreds	NK
		sieht alles weit voraus	videt omnia longe	Matheus v. Salerno		x			124v	921	Aussage Tankreds	NK
		zweiter Achitofel	Achitofel alter	Matheus v. Salerno		x		x	124v	922	Aussage Tankreds	NK
		Herz eines Odysseus	pectus Ulixis 	Matheus v. Salerno		x			124v	922	Aussage Tankreds	NK
		hezliebe Gattin	michi cara nimis	Sibylle v. Medania		x			124v	923	Aussage Tankreds	NK
		[zieht Tankred] gewohnheitsmässig heran 	de more vocatum	Matheus v. Salerno		x			124v	923	Aussage Tankreds	NK
	der triumphierende Führer		triumphantem [...] ducem	Heinrich VI.	x				135v	1304		DW
		übertraf er den Namen Karl seiner Ahnen und dessen Schicksalsbedeutung	multiplicat Carolis nomen et omen avis	Heinrich VI.	x		x		135v	1308		DW
		[er] reinigte [den Palast] von Lastern	a viciis mundat	Heinrich VI.	x		x		135v	1309		DW
		[er] vertrieb die Listen des saturnischen Zeitalters	Saturninos excutit dolos	Heinrich VI.	x		x		135v	1310		DW
		[er] erneuerte die Zeit Jupiters und des grossen Oktavian	Iovis et magni tempus novat Octaviani	Heinrich VI.	x		x		135v	1311		DW
	unser Salomo		nostro Salomone	Heinrich VI.	x		x		135v	1313		DW
	der unbesiegbare Kaiser		Caesari invicti	Heinrich VI.	x				135v	1315		DW
	der Waffengewaltige		armipotens	Heinrich VI.	x				136v	1339		DW
		[Die Welt seufzte darüber, dass] die Palme [ihre Früchte zurückgehalten hatte]	[Duxerat in gemitum presentis secula vite, quid fuerat fructus] palma [morata suis.]	Konstanze v. Sizilien	x		x		137v	1366	Klingt negativ konnotiert, ist aber Vorlage für die Formulierung in Zeile 1368	
		[Je später er zum Ertrag gelangt, desto beständiger trägt] der Baum [schließlich Früchte] wie die fruchtbare Olive.	[Senor ad fructus tanto constantior] arbor [natificat tandem] sicut oliva [parens.]	Konstanze v. Sizilien	x		x		137v	1368		
		Der Vater ist [zwar] vom Glück begünstigt	Felix [namque] Pater	Heinrich VI.	x		x		137v	1371		
		Denn der Vater wird mit siegreicher Lanze die Teile zum Ganzen führen und das Reich auferstehen lassen, wie es früher war.	Nam pater ad totum victrici cuspide partes ducet et inperium stare, quid ante, dabit.	Heinrich VI.	x		x		137v	1373-1374		
	Acerrarerin			Sibylle v. Medania					125v	925	?	MP
		O Bibliothek der alten Führer. O Schutz des Königreiches, reinste Treue gegenüber den Königen, Medikament des Leben		Matheus v. Salerno			x		125v	926		MP
		hochweiser König		Tankred v. L.		x	x		125v	929		MP
	schwachsinnig			Tankred v. L.		x		x	125v	931		MP
		weit in der Zukunft Liegendes siehst Du in Deinem erfahrenen Geist.		Sibylle v. Medania			x		125v	940		MP
		Der mit vielem befasste Verstand des Herrschers geht in die Irre.		Tankred v. L.		x		x	125v	943		MP
		O Pest Sodoms, brut Gomorrhas		Matheus v. Salerno				x	126v	969		MP
		Du Gefäss der Sünde, alte Amphore des Alten Verrats, Quell des Hasses, Frevel, todbringendes Chaos, Tempel des Luzifer		Matheus v. Salerno				x	126v	971		MP
		Verführer der Kirche, Belastung für die Vernunft		Matheus v. Salerno				x	126v	984		MP
		Oftmals warst Du für Freunde ein Anlass für Streit		Matheus v. Salerno				x	126v	986		MP
		Du warst der einzige Grund, weswegen die Zeiten klagen konnten		Matheus v. Salerno				x	126v	987		MP
		Bigamist der Sünde		Matheus v. Salerno				x	126v	990		MP
		falscher Bischof		Matheus v. Salerno				x	126v	999		MP
	Elender			Matheus v. Salerno				x	126v	1001		MP
	SONNE DER KAISER		SOL AUGUSTORUM	Heinrich VI.	x		x		145v	1445		SM
	Sieger		victor	Heinrich VI.	x		x		145v	1446		SM
		[Himmelsbahnen lenken]		Heinrich VI.	x		x		145v	1446		SM
		[Die Zügel des Schiksals lenken]	Ducis fortune	Heinrich VI.	x		x		145v	1448		SM
	Ruhmestitel		titulis	Heinrich VI.	x		x		145v	1450		SM
		[Besser sein als (Alexander, Salomo, Caesar)]	Nec Salomon nec Alexander nec Iulius ipse [...]	Heinrich VI.	x		x		145v	1451		SM
		[Sechster im sechsten Weltalter]	sextus ab equivocis sexto	Heinrich VI.	x		x		145v	1453		SM
		[Die Vollendung des Zeitalters anzeigen]	signas etatis tempora plena tue	Heinrich VI.	x		x		145v	1454		SM
	Grossvater mit unvergänglichem Namen		eterno nomine regnet avus	Heinrich VI.	x		x		145v	1456		SM
	Sonne (=Herrscherbez.)		sol Augustissime	Heinrich VI.	x		x		145v	1459		SM
	bereichern		ditas	Heinrich VI.	x		x		145v	1460		SM
	regieren		regis	Heinrich VI.	x		x		145v	1460		SM
	unauslöschliches Licht		lux indefecta	Heinrich VI.	x		x		145v	1461		SM
	(er-)höhen		exaltibur	Heinrich VI.	x		x		145v	1464		SM
	Sieger über Agypten		victor Egyptum	Heinrich VI.	x		x		145v	1464		SM
		neben Jupiter sein Lager aufschlagen	ponet cum Iove castra	Heinrich VI.	x		x		145v	1468		SM
		er besiegt das Reich Zion	vicerit syon	Heinrich VI.	x		x		145v	1469		SM
		er erobert die Burg David	vicerit David arce	Heinrich VI.	x		x		145v	1469		SM
		goldenes Szepter regieren	reget aurea sceptra	Heinrich VI.	x		x		145v	1470		SM
		den Knaben lehren		Heinrich VI.	x		x		143v	1610		SM
		dem Körper nach Knabe, dem Geist nach Greis		Heinrich VI.	x		x		143v	1618		SM
		besitzt jede Tugend		Heinrich VI.	x		x		143v	1619		SM
	gerecht			Heinrich VI.	x		x		143v	1622		SM
	fromm			Heinrich VI.	x		x		143v	1622		SM
	streng			Heinrich VI.	x		x		143v	1623		SM
	massvoll			Heinrich VI.	x		x		143v	1623		SM
		den Göttern gleich		Heinrich VI.	x		x		143v	1634		SM
		[seine] Tugenden wetteifern		Heinrich VI.	x		x		143v	1637		SM
		die Weisheit nahm [ihn] in ihren Schoss auf		Heinrich VI.	x		x		143v	1639		SM
	fromm		pius	Heinrich VI.	x		x		130v	1119		LS
	Waffenmächtige		armipotens	Heinrich VI.	x		x		130v	1119		LS
		die ganze Finsternis zu vertreiben	Ut [...] omnen letus eclipsin	Heinrich VI.	x		x		130v	1119		LS
		die Götter Italiens unter sein Kommando 	Ressit et Experios is sua issua deos	Heinrich VI.	x		x		130v	1120		LS
	Befiehlt		Imperat	Heinrich VI.	x		x		130v	1121		LS
		Sonne der Himmlischen 	sol renga 	Heinrich VI.	x		x		130v	1145		LS
		hat der Kaiser die Gewalt	numina Cesar habet	Heinrich VI.	x		x		130v	1146		LS
	Froh		letus	Heinrich VI.	x		x		130v	1147		LS
	Waffenmächtige		armipotens	Heinrich VI.	x		x		131v	1151		LS
		blinkende Waffen des Kaisers	iam Cesaris arma coruscant	Heinrich VI.		x		x	131v	1161		LS
		das Land der Heilkunde untersteht Deinem Befehl	Subjacat imperio phisica terra nuo.	Heinrich VI.	x		x		131v	1164		LS
		nach Art des himmlischen Herrschers bewogen	flecteur more Tonantis	Heinrich VI.	x				131v	1167		LS
	liebevoll		pium	Heinrich VI.	x		x		131v	1168		LS
		Gott aus Nazareth	Nazarenus deus	Heinrich VI.	x		x		131v	1169		LS
		zu einem Menschen gemahct in sterblicher Hülle	in umano tegmine factus homo	Heinrich VI.	x		x		131v	1170		LS
	Majestät		majestate	Heinrich VI.	x		x		131v	1171		LS
		jedes Werk als Richter zu sühnen	Pro meritis iudex omne piabit opus	Heinrich VI.	x		x		131v	1172		LS
	liebevoll		pius	Heinrich VI.	x		x		131v	1173		LS
	wohlwollend		benignus	Heinrich VI.	x		x		131v	1173		LS
		Du bist die Sonne	Tu sol	Heinrich VI.	x		x		133v	1237		LS
		Du das Licht in der Welt	Tu lumien in orbe	Heinrich VI.	x		x		133v	1237		LS
		Du der ersehnte Tag	Tu spectata dies	Heinrich VI.	x		x		133v	1238		LS
		der Du kommst ohne Nacht	qui sine nocte venis	Heinrich VI.	x		x		133v	1238		LS
		Du wirst die Finsternis des Reiches mit dem Lich Deiner Waffe vertreiben	Tu regni tenebras armata luce fugabis  	Heinrich VI.	x		x		133v	1239		LS
		Du wirst die Fülle des Freidens sein, der Du die Streitigkeiten schlichtest	Discutiens lites copia pacis eris	Heinrich VI.	x		x		133v	1240		LS
		der Du die Welt unter den Frieden zwingst	Quis mundum sub pace ligas 	Heinrich VI.	x		x		133v	1241		LS
		der Du die Kriege unterdrückst	qui bella coherces	Heinrich VI.	x		x		133v	1241		LS
		der Du die stolzen Nacken der Könige unter Deinem Fusse zertrittst	Inclita qui regum sub pede colla teris	Heinrich VI.	x		x		133v	1242		LS
		Denn der Welt zu dienen, das scheint Dir Herrschen zu bedeuten	Nam servire tibi mundo regnare videtur	Heinrich VI.	x		x		133v	1245		LS
		und darin wirst Du als Kaiser grösser als der gorsse Caesar sein	Maior in hoc magno Cesare Cesar eris	Heinrich VI.	x		x		133v	1246		LS
		das Königlein hat unsere Stadt verlassen	profugus nostram dimisit regulus urbem 	Tankred v. L.	x			x	133v	1247		LS
		elende Gattin	miserabilis uxor	Sibylle v. Medania	x			x	134v	1257		LS
	elend		miseri	Tankred v. L.	x			x	134v	1257		LS
		liess sie verbittert aus ihren Augen die Tränen fliessen	In lacrimas oculos solvit amara suos	Sibylle v. Medania	x			x	134v	1262		LS
	Tyrannei		tirannidis	Tankred v. L.	x			x	134v	1279		LS
		demütig um Gnade flehen	veniam summissa precabor	Sibylle v. Medania	x		x		134v	1293		LS
	Schluchzen		Singultus	Sibylle v. Medania	x			x	134v	1295		LS
	Wehklagen		gemitus	Sibylle v. Medania	x			x	134v	1295		LS
	Seufzen		suspiria	Sibylle v. Medania	x			x	134v	1295		LS
	Weinen		fletus	Sibylle v. Medania	x			x	134v	1295		LS
		Sie werden für mich kämpfen	Pro me pugnabunt	Sibylle v. Medania		x		x	134v	1297		LS